UTCG,r_x,r_y,r_z,v_x,v_y,v_z,a_x,a_y,a_z,lla_Lat,lla_Lon,lla_Alt,coe_Semi-major_Axis,coe_Eccentricity,coe_Inclination,coe_RAAN,coe_Arg_of_Perigee,coe_True_Anomaly
15 Jul 2026 13:34:00.000000000,6552.551666481162,-1448.1112076543218,-1527.5596391763765,2.313747761072058,4.298436037369216,5.840438615459729,-0.008021925939557053,0.0017699021299908517,0.0018713586164977622,-12.755507176603466,-149.03365789756745,505.2227032507167,6885.197917364562,0.0005030447152175843,53.01540579779537,357.40934011737943,309.8945962003447,33.97286515859706
15 Jul 2026 13:35:00.000000000,6676.8421233859835,-1187.2053855532695,-1174.0180711328544,1.827752315957298,4.395247144483455,5.939957540958328,-0.008174488413910778,0.0014506146166314406,0.0014374695095075427,-9.734728173550252,-146.9075381014927,504.9108428802489,6885.58102624727,0.0005097519657805638,53.01660558511616,357.40895589783923,321.11070654171164,26.559130148544746
15 Jul 2026 13:36:00.000000000,6771.719365389508,-921.0696138166215,-815.2904333780458,1.3336676990580167,4.472702774724435,6.013242999396722,-0.008290857781637455,0.0011248519386809679,0.0009971289755215636,-6.697124826780218,-144.82373508468254,504.68388508066033,6885.865786527809,0.0005137669273224439,53.01749754691436,357.4087471473689,331.89796062437307,19.574123741069187
15 Jul 2026 13:37:00.000000000,6836.763530396715,-650.876026826436,-452.961190676094,0.8336822625416865,4.530457260151469,6.059966060457616,-0.00837049446018794,0.0007940712762648186,0.0005523132024739822,-3.6481648662437722,-142.7685919485005,504.54645015990076,6886.047172079496,0.0005138528151978797,53.0180658515423,357.4086613017774,342.405038089791,12.869198167132076
15 Jul 2026 13:38:00.000000000,6871.686928475439,-377.814860348415,-88.63097065122673,0.3300116970404424,4.568253144900503,6.079917104197444,-0.008413030099546236,0.00045975500369102454,0.00010502167920265737,-0.593098122996945,-140.7289115363963,504.5014514792202,6886.121982127441,0.0005092540261958104,53.018300361636044,357.40864363806423,352.80242929179866,6.273896054962379
15 Jul 2026 13:39:00.000000000,6876.335372234188,-103.08911792251821,276.09063034461894,-0.17511131867663404,4.585922470203341,6.073006911719002,-0.00841826997263567,0.00012340297307652427,-0.0003427332574843844,2.4629419560735712,-138.69174565624232,504.55004002369054,6886.088898303504,0.0004997209301396137,53.018196811826265,357.408638236442,3.278094209703478,359.6002910653902
15 Jul 2026 13:40:00.000000000,6850.688882653564,172.09082585079216,639.5922878371691,-0.6794475765576574,4.583387591342849,6.039267124006855,-0.008386194177005564,-0.00021347535989102226,-0.0007889370142125716,5.5148408978726255,-136.64418679991837,504.6915817911839,6885.948508074212,0.00048553959904444133,53.01775688334532,357.4085889632913,14.038771804591695,352.6416780744026
15 Jul 2026 13:41:00.000000000,6794.861766025312,446.51265680588466,1000.2681982602753,-1.180761834546674,4.560661519612101,5.978850064046302,-0.00831695762619604,-0.0005493688813328812,-0.0012315833542054376,8.55740646170759,-134.57316030452833,504.9236684685851,6885.703294106868,0.0004675790859994832,53.016988174238335,357.40844045777897,25.311979309148278,345.1705734201177
15 Jul 2026 13:42:00.000000000,6709.102061990216,718.9675589160731,1356.525298284067,-1.6768332756902231,4.517847787623094,5.89202792439707,-0.008210888834877536,-0.0008827727471440634,-0.0016686849145832764,11.585269144719552,-132.46521479265283,505.24216117788956,6885.357589778908,0.0004473574453647265,53.01590406570899,357.4081391048706,37.34100926677854,336.94371740593516
15 Jul 2026 13:43:00.000000000,6593.790366991619,988.2556296871993,1706.7904166493101,-2.1654658593520333,4.455139841602899,5.779191329381109,-0.008068487523985243,-0.0012121962060299737,-0.0020982835130280812,14.592776460752496,-130.3063091835834,505.6412663946579,6884.917501670227,0.0004271053403391174,53.0145234869468,357.40763397765335,50.35963957782463,327.72736380950437
15 Jul 2026 13:44:00.000000000,6449.438041693184,1253.1912451087182,2049.517321462868,-2.64449849505963,4.372819969468802,5.640847287772072,-0.007890421094234481,-0.001536170233779528,-0.0025184601349547784,17.57387741891213,-128.0815956862239,506.1136424865053,6884.39080049429,0.0004097586206523297,53.01287058255566,357.40687773252534,64.52767241905983,317.3617405385428
15 Jul 2026 13:45:00.000000000,6276.684814973416,1512.6083466901648,2383.193627041329,-3.1118149730012052,4.271257778350416,5.477616558154419,-0.007677520036002283,-0.001853254900537215,-0.0029273445011871904,20.52199351747982,-125.77520021155814,506.6505347080627,6883.786782507769,0.0003987393811926886,53.010974288405336,357.40582744150225,79.81787808977163,305.8741053870543
